2025-03-01 21:16:56 - SEND to VM 1 | Logical clock: 1
2025-03-01 21:16:57 - RECEIVE from VM 2 | Queue length: 0 | Logical clock: 4
2025-03-01 21:16:58 - RECEIVE from VM 2 | Queue length: 1 | Logical clock: 10
2025-03-01 21:16:59 - RECEIVE from VM 2 | Queue length: 1 | Logical clock: 13
2025-03-01 21:17:00 - RECEIVE from VM 1 | Queue length: 0 | Logical clock: 17
2025-03-01 21:17:01 - RECEIVE from VM 1 | Queue length: 0 | Logical clock: 23
2025-03-01 21:17:02 - RECEIVE from VM 2 | Queue length: 1 | Logical clock: 32
2025-03-01 21:17:03 - RECEIVE from VM 2 | Queue length: 1 | Logical clock: 34
2025-03-01 21:17:04 - RECEIVE from VM 2 | Queue length: 0 | Logical clock: 40
2025-03-01 21:17:05 - RECEIVE from VM 1 | Queue length: 1 | Logical clock: 47
2025-03-01 21:17:06 - RECEIVE from VM 2 | Queue length: 1 | Logical clock: 51
2025-03-01 21:17:07 - RECEIVE from VM 2 | Queue length: 1 | Logical clock: 55
2025-03-01 21:17:08 - RECEIVE from VM 1 | Queue length: 1 | Logical clock: 62
2025-03-01 21:17:09 - RECEIVE from VM 2 | Queue length: 2 | Logical clock: 66
2025-03-01 21:17:10 - RECEIVE from VM 2 | Queue length: 2 | Logical clock: 72
2025-03-01 21:17:11 - RECEIVE from VM 2 | Queue length: 3 | Logical clock: 74
2025-03-01 21:17:12 - RECEIVE from VM 1 | Queue length: 3 | Logical clock: 78
2025-03-01 21:17:13 - RECEIVE from VM 1 | Queue length: 4 | Logical clock: 82
2025-03-01 21:17:14 - RECEIVE from VM 1 | Queue length: 4 | Logical clock: 85
2025-03-01 21:17:15 - RECEIVE from VM 1 | Queue length: 5 | Logical clock: 91
2025-03-01 21:17:16 - RECEIVE from VM 2 | Queue length: 5 | Logical clock: 96
2025-03-01 21:17:17 - RECEIVE from VM 2 | Queue length: 4 | Logical clock: 98
2025-03-01 21:17:18 - RECEIVE from VM 2 | Queue length: 5 | Logical clock: 100
2025-03-01 21:17:19 - RECEIVE from VM 2 | Queue length: 6 | Logical clock: 109
2025-03-01 21:17:20 - RECEIVE from VM 1 | Queue length: 5 | Logical clock: 110
2025-03-01 21:17:21 - RECEIVE from VM 1 | Queue length: 5 | Logical clock: 115
2025-03-01 21:17:22 - RECEIVE from VM 2 | Queue length: 5 | Logical clock: 125
2025-03-01 21:17:23 - RECEIVE from VM 1 | Queue length: 6 | Logical clock: 126
2025-03-01 21:17:24 - RECEIVE from VM 2 | Queue length: 5 | Logical clock: 131
2025-03-01 21:17:25 - RECEIVE from VM 1 | Queue length: 4 | Logical clock: 134
2025-03-01 21:17:26 - RECEIVE from VM 2 | Queue length: 5 | Logical clock: 145
2025-03-01 21:17:27 - RECEIVE from VM 2 | Queue length: 4 | Logical clock: 147
2025-03-01 21:17:28 - RECEIVE from VM 1 | Queue length: 4 | Logical clock: 148
2025-03-01 21:17:29 - RECEIVE from VM 1 | Queue length: 5 | Logical clock: 149
2025-03-01 21:17:30 - RECEIVE from VM 2 | Queue length: 6 | Logical clock: 167
2025-03-01 21:17:31 - RECEIVE from VM 2 | Queue length: 6 | Logical clock: 169
2025-03-01 21:17:32 - RECEIVE from VM 2 | Queue length: 6 | Logical clock: 177
2025-03-01 21:17:33 - RECEIVE from VM 1 | Queue length: 6 | Logical clock: 179
2025-03-01 21:17:34 - RECEIVE from VM 2 | Queue length: 7 | Logical clock: 183
2025-03-01 21:17:35 - RECEIVE from VM 1 | Queue length: 9 | Logical clock: 187
2025-03-01 21:17:36 - RECEIVE from VM 2 | Queue length: 9 | Logical clock: 190
2025-03-01 21:17:37 - RECEIVE from VM 1 | Queue length: 10 | Logical clock: 196
2025-03-01 21:17:38 - RECEIVE from VM 1 | Queue length: 10 | Logical clock: 202
2025-03-01 21:17:39 - RECEIVE from VM 1 | Queue length: 11 | Logical clock: 205
2025-03-01 21:17:40 - RECEIVE from VM 2 | Queue length: 10 | Logical clock: 211
2025-03-01 21:17:41 - RECEIVE from VM 2 | Queue length: 9 | Logical clock: 214
2025-03-01 21:17:42 - RECEIVE from VM 2 | Queue length: 8 | Logical clock: 216
2025-03-01 21:17:43 - RECEIVE from VM 2 | Queue length: 8 | Logical clock: 218
2025-03-01 21:17:44 - RECEIVE from VM 1 | Queue length: 9 | Logical clock: 219
2025-03-01 21:17:45 - RECEIVE from VM 1 | Queue length: 9 | Logical clock: 222
2025-03-01 21:17:46 - RECEIVE from VM 2 | Queue length: 9 | Logical clock: 227
2025-03-01 21:17:47 - RECEIVE from VM 2 | Queue length: 8 | Logical clock: 231
2025-03-01 21:17:48 - RECEIVE from VM 2 | Queue length: 9 | Logical clock: 236
2025-03-01 21:17:49 - RECEIVE from VM 1 | Queue length: 9 | Logical clock: 239
2025-03-01 21:17:50 - RECEIVE from VM 2 | Queue length: 9 | Logical clock: 243
2025-03-01 21:17:51 - RECEIVE from VM 1 | Queue length: 11 | Logical clock: 263
2025-03-01 21:17:52 - RECEIVE from VM 2 | Queue length: 10 | Logical clock: 268
2025-03-01 21:17:53 - RECEIVE from VM 2 | Queue length: 9 | Logical clock: 270
