2025-03-01 21:20:02 - INTERNAL Internal event | Logical clock: 1
2025-03-01 21:20:03 - RECEIVE from VM 1 | Queue length: 1 | Logical clock: 4
2025-03-01 21:20:04 - RECEIVE from VM 1 | Queue length: 2 | Logical clock: 6
2025-03-01 21:20:05 - RECEIVE from VM 0 | Queue length: 3 | Logical clock: 9
2025-03-01 21:20:06 - RECEIVE from VM 1 | Queue length: 4 | Logical clock: 11
2025-03-01 21:20:07 - RECEIVE from VM 1 | Queue length: 7 | Logical clock: 14
2025-03-01 21:20:08 - RECEIVE from VM 0 | Queue length: 6 | Logical clock: 15
2025-03-01 21:20:09 - RECEIVE from VM 0 | Queue length: 7 | Logical clock: 21
2025-03-01 21:20:10 - RECEIVE from VM 1 | Queue length: 8 | Logical clock: 24
2025-03-01 21:20:11 - RECEIVE from VM 0 | Queue length: 7 | Logical clock: 26
2025-03-01 21:20:12 - RECEIVE from VM 0 | Queue length: 7 | Logical clock: 28
2025-03-01 21:20:13 - RECEIVE from VM 1 | Queue length: 9 | Logical clock: 29
2025-03-01 21:20:14 - RECEIVE from VM 1 | Queue length: 10 | Logical clock: 31
2025-03-01 21:20:15 - RECEIVE from VM 1 | Queue length: 10 | Logical clock: 38
2025-03-01 21:20:16 - RECEIVE from VM 0 | Queue length: 13 | Logical clock: 40
2025-03-01 21:20:17 - RECEIVE from VM 1 | Queue length: 14 | Logical clock: 45
2025-03-01 21:20:18 - RECEIVE from VM 1 | Queue length: 14 | Logical clock: 48
2025-03-01 21:20:19 - RECEIVE from VM 1 | Queue length: 16 | Logical clock: 57
2025-03-01 21:20:20 - RECEIVE from VM 1 | Queue length: 16 | Logical clock: 61
2025-03-01 21:20:21 - RECEIVE from VM 1 | Queue length: 17 | Logical clock: 63
2025-03-01 21:20:22 - RECEIVE from VM 1 | Queue length: 17 | Logical clock: 65
2025-03-01 21:20:23 - RECEIVE from VM 1 | Queue length: 16 | Logical clock: 66
2025-03-01 21:20:24 - RECEIVE from VM 0 | Queue length: 17 | Logical clock: 67
2025-03-01 21:20:25 - RECEIVE from VM 1 | Queue length: 18 | Logical clock: 73
2025-03-01 21:20:26 - RECEIVE from VM 1 | Queue length: 20 | Logical clock: 76
2025-03-01 21:20:27 - RECEIVE from VM 0 | Queue length: 20 | Logical clock: 77
2025-03-01 21:20:28 - RECEIVE from VM 1 | Queue length: 21 | Logical clock: 78
2025-03-01 21:20:29 - RECEIVE from VM 1 | Queue length: 22 | Logical clock: 79
2025-03-01 21:20:30 - RECEIVE from VM 0 | Queue length: 21 | Logical clock: 81
2025-03-01 21:20:31 - RECEIVE from VM 0 | Queue length: 22 | Logical clock: 82
2025-03-01 21:20:32 - RECEIVE from VM 1 | Queue length: 23 | Logical clock: 89
2025-03-01 21:20:33 - RECEIVE from VM 0 | Queue length: 27 | Logical clock: 94
2025-03-01 21:20:34 - RECEIVE from VM 1 | Queue length: 30 | Logical clock: 96
2025-03-01 21:20:35 - RECEIVE from VM 0 | Queue length: 31 | Logical clock: 97
2025-03-01 21:20:36 - RECEIVE from VM 1 | Queue length: 33 | Logical clock: 103
2025-03-01 21:20:37 - RECEIVE from VM 1 | Queue length: 34 | Logical clock: 104
2025-03-01 21:20:38 - RECEIVE from VM 0 | Queue length: 37 | Logical clock: 105
2025-03-01 21:20:39 - RECEIVE from VM 1 | Queue length: 37 | Logical clock: 112
2025-03-01 21:20:40 - RECEIVE from VM 0 | Queue length: 39 | Logical clock: 121
2025-03-01 21:20:41 - RECEIVE from VM 1 | Queue length: 42 | Logical clock: 125
2025-03-01 21:20:42 - RECEIVE from VM 0 | Queue length: 43 | Logical clock: 127
2025-03-01 21:20:43 - RECEIVE from VM 1 | Queue length: 43 | Logical clock: 132
2025-03-01 21:20:44 - RECEIVE from VM 1 | Queue length: 44 | Logical clock: 134
2025-03-01 21:20:45 - RECEIVE from VM 0 | Queue length: 45 | Logical clock: 137
2025-03-01 21:20:46 - RECEIVE from VM 0 | Queue length: 46 | Logical clock: 138
2025-03-01 21:20:47 - RECEIVE from VM 0 | Queue length: 47 | Logical clock: 140
2025-03-01 21:20:48 - RECEIVE from VM 1 | Queue length: 49 | Logical clock: 147
2025-03-01 21:20:49 - RECEIVE from VM 0 | Queue length: 50 | Logical clock: 148
2025-03-01 21:20:50 - RECEIVE from VM 0 | Queue length: 52 | Logical clock: 151
2025-03-01 21:20:51 - RECEIVE from VM 0 | Queue length: 54 | Logical clock: 152
2025-03-01 21:20:52 - RECEIVE from VM 1 | Queue length: 56 | Logical clock: 160
2025-03-01 21:20:53 - RECEIVE from VM 1 | Queue length: 56 | Logical clock: 162
2025-03-01 21:20:54 - RECEIVE from VM 0 | Queue length: 57 | Logical clock: 165
2025-03-01 21:20:55 - RECEIVE from VM 1 | Queue length: 58 | Logical clock: 169
2025-03-01 21:20:56 - RECEIVE from VM 0 | Queue length: 59 | Logical clock: 171
2025-03-01 21:20:57 - RECEIVE from VM 1 | Queue length: 61 | Logical clock: 172
2025-03-01 21:20:58 - RECEIVE from VM 0 | Queue length: 62 | Logical clock: 173
2025-03-01 21:20:59 - RECEIVE from VM 0 | Queue length: 64 | Logical clock: 175
