2025-03-05 14:24:11 - RECEIVE from VM 1 | Queue length: 1 | Logical clock: 2
2025-03-05 14:24:12 - RECEIVE from VM 2 | Queue length: 1 | Logical clock: 3
2025-03-05 14:24:13 - RECEIVE from VM 2 | Queue length: 1 | Logical clock: 4
2025-03-05 14:24:14 - RECEIVE from VM 1 | Queue length: 2 | Logical clock: 5
2025-03-05 14:24:15 - RECEIVE from VM 2 | Queue length: 1 | Logical clock: 8
2025-03-05 14:24:16 - RECEIVE from VM 1 | Queue length: 3 | Logical clock: 11
2025-03-05 14:24:17 - RECEIVE from VM 2 | Queue length: 5 | Logical clock: 14
2025-03-05 14:24:18 - RECEIVE from VM 1 | Queue length: 5 | Logical clock: 15
2025-03-05 14:24:19 - RECEIVE from VM 2 | Queue length: 6 | Logical clock: 16
2025-03-05 14:24:20 - RECEIVE from VM 1 | Queue length: 7 | Logical clock: 17
2025-03-05 14:24:21 - RECEIVE from VM 2 | Queue length: 7 | Logical clock: 18
2025-03-05 14:24:22 - RECEIVE from VM 2 | Queue length: 7 | Logical clock: 19
2025-03-05 14:24:23 - RECEIVE from VM 1 | Queue length: 8 | Logical clock: 21
2025-03-05 14:24:24 - RECEIVE from VM 1 | Queue length: 8 | Logical clock: 23
2025-03-05 14:24:25 - RECEIVE from VM 2 | Queue length: 9 | Logical clock: 24
2025-03-05 14:24:26 - RECEIVE from VM 2 | Queue length: 9 | Logical clock: 26
2025-03-05 14:24:27 - RECEIVE from VM 2 | Queue length: 9 | Logical clock: 28
2025-03-05 14:24:28 - RECEIVE from VM 2 | Queue length: 8 | Logical clock: 31
2025-03-05 14:24:29 - RECEIVE from VM 2 | Queue length: 10 | Logical clock: 33
2025-03-05 14:24:30 - RECEIVE from VM 2 | Queue length: 10 | Logical clock: 35
2025-03-05 14:24:31 - RECEIVE from VM 2 | Queue length: 11 | Logical clock: 37
2025-03-05 14:24:32 - RECEIVE from VM 1 | Queue length: 12 | Logical clock: 38
2025-03-05 14:24:33 - RECEIVE from VM 2 | Queue length: 14 | Logical clock: 42
2025-03-05 14:24:34 - RECEIVE from VM 2 | Queue length: 13 | Logical clock: 44
2025-03-05 14:24:35 - RECEIVE from VM 2 | Queue length: 13 | Logical clock: 46
2025-03-05 14:24:36 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 50
2025-03-05 14:24:37 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 54
2025-03-05 14:24:38 - RECEIVE from VM 1 | Queue length: 12 | Logical clock: 56
2025-03-05 14:24:39 - RECEIVE from VM 2 | Queue length: 13 | Logical clock: 57
2025-03-05 14:24:40 - RECEIVE from VM 2 | Queue length: 13 | Logical clock: 59
2025-03-05 14:24:41 - RECEIVE from VM 2 | Queue length: 12 | Logical clock: 62
2025-03-05 14:24:42 - RECEIVE from VM 2 | Queue length: 13 | Logical clock: 64
2025-03-05 14:24:43 - RECEIVE from VM 2 | Queue length: 13 | Logical clock: 66
2025-03-05 14:24:44 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 67
2025-03-05 14:24:45 - RECEIVE from VM 1 | Queue length: 14 | Logical clock: 69
2025-03-05 14:24:46 - RECEIVE from VM 1 | Queue length: 15 | Logical clock: 71
2025-03-05 14:24:47 - RECEIVE from VM 2 | Queue length: 14 | Logical clock: 72
2025-03-05 14:24:48 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 77
2025-03-05 14:24:49 - RECEIVE from VM 1 | Queue length: 14 | Logical clock: 80
2025-03-05 14:24:50 - RECEIVE from VM 1 | Queue length: 14 | Logical clock: 83
2025-03-05 14:24:51 - RECEIVE from VM 2 | Queue length: 13 | Logical clock: 88
2025-03-05 14:24:52 - RECEIVE from VM 2 | Queue length: 14 | Logical clock: 90
2025-03-05 14:24:53 - RECEIVE from VM 2 | Queue length: 13 | Logical clock: 92
2025-03-05 14:24:54 - RECEIVE from VM 1 | Queue length: 14 | Logical clock: 95
2025-03-05 14:24:55 - RECEIVE from VM 1 | Queue length: 14 | Logical clock: 96
2025-03-05 14:24:56 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 99
2025-03-05 14:24:57 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 100
2025-03-05 14:24:58 - RECEIVE from VM 2 | Queue length: 12 | Logical clock: 102
2025-03-05 14:24:59 - RECEIVE from VM 1 | Queue length: 12 | Logical clock: 103
2025-03-05 14:25:00 - RECEIVE from VM 1 | Queue length: 12 | Logical clock: 104
2025-03-05 14:25:01 - RECEIVE from VM 2 | Queue length: 11 | Logical clock: 105
2025-03-05 14:25:02 - RECEIVE from VM 1 | Queue length: 12 | Logical clock: 111
2025-03-05 14:25:04 - RECEIVE from VM 1 | Queue length: 12 | Logical clock: 113
2025-03-05 14:25:05 - RECEIVE from VM 2 | Queue length: 12 | Logical clock: 117
2025-03-05 14:25:06 - RECEIVE from VM 1 | Queue length: 11 | Logical clock: 121
2025-03-05 14:25:07 - RECEIVE from VM 1 | Queue length: 10 | Logical clock: 123
2025-03-05 14:25:08 - RECEIVE from VM 2 | Queue length: 11 | Logical clock: 128
2025-03-05 14:25:09 - RECEIVE from VM 1 | Queue length: 10 | Logical clock: 129
