2025-03-05 14:27:24 - SEND to VM 1 | Logical clock: 1
2025-03-05 14:27:24 - SEND to VM 2 | Logical clock: 2
2025-03-05 14:27:24 - SEND to VM 1 | Logical clock: 3
2025-03-05 14:27:24 - SEND to VM 2 | Logical clock: 4
2025-03-05 14:27:25 - RECEIVE from VM 1 | Queue length: 0 | Logical clock: 7
2025-03-05 14:27:25 - RECEIVE from VM 1 | Queue length: 0 | Logical clock: 9
2025-03-05 14:27:26 - RECEIVE from VM 1 | Queue length: 1 | Logical clock: 13
2025-03-05 14:27:26 - RECEIVE from VM 1 | Queue length: 2 | Logical clock: 15
2025-03-05 14:27:27 - RECEIVE from VM 1 | Queue length: 3 | Logical clock: 17
2025-03-05 14:27:27 - RECEIVE from VM 1 | Queue length: 2 | Logical clock: 18
2025-03-05 14:27:28 - RECEIVE from VM 1 | Queue length: 4 | Logical clock: 21
2025-03-05 14:27:28 - RECEIVE from VM 1 | Queue length: 4 | Logical clock: 22
2025-03-05 14:27:29 - RECEIVE from VM 1 | Queue length: 5 | Logical clock: 26
2025-03-05 14:27:29 - RECEIVE from VM 1 | Queue length: 4 | Logical clock: 28
2025-03-05 14:27:30 - RECEIVE from VM 1 | Queue length: 5 | Logical clock: 30
2025-03-05 14:27:30 - RECEIVE from VM 1 | Queue length: 4 | Logical clock: 32
2025-03-05 14:27:31 - RECEIVE from VM 1 | Queue length: 5 | Logical clock: 36
2025-03-05 14:27:31 - RECEIVE from VM 1 | Queue length: 5 | Logical clock: 38
2025-03-05 14:27:32 - RECEIVE from VM 1 | Queue length: 6 | Logical clock: 43
2025-03-05 14:27:32 - RECEIVE from VM 1 | Queue length: 5 | Logical clock: 46
2025-03-05 14:27:33 - RECEIVE from VM 1 | Queue length: 5 | Logical clock: 50
2025-03-05 14:27:33 - RECEIVE from VM 1 | Queue length: 5 | Logical clock: 51
2025-03-05 14:27:34 - RECEIVE from VM 1 | Queue length: 6 | Logical clock: 56
2025-03-05 14:27:34 - RECEIVE from VM 1 | Queue length: 6 | Logical clock: 59
2025-03-05 14:27:35 - RECEIVE from VM 1 | Queue length: 8 | Logical clock: 61
2025-03-05 14:27:35 - RECEIVE from VM 1 | Queue length: 8 | Logical clock: 68
2025-03-05 14:27:36 - RECEIVE from VM 1 | Queue length: 7 | Logical clock: 72
2025-03-05 14:27:36 - RECEIVE from VM 1 | Queue length: 7 | Logical clock: 74
2025-03-05 14:27:37 - RECEIVE from VM 1 | Queue length: 6 | Logical clock: 77
2025-03-05 14:27:37 - RECEIVE from VM 1 | Queue length: 7 | Logical clock: 78
2025-03-05 14:27:38 - RECEIVE from VM 1 | Queue length: 8 | Logical clock: 80
2025-03-05 14:27:38 - RECEIVE from VM 1 | Queue length: 9 | Logical clock: 82
2025-03-05 14:27:39 - RECEIVE from VM 1 | Queue length: 8 | Logical clock: 83
2025-03-05 14:27:39 - RECEIVE from VM 1 | Queue length: 8 | Logical clock: 85
2025-03-05 14:27:40 - RECEIVE from VM 1 | Queue length: 10 | Logical clock: 91
2025-03-05 14:27:40 - RECEIVE from VM 1 | Queue length: 12 | Logical clock: 97
2025-03-05 14:27:41 - RECEIVE from VM 1 | Queue length: 11 | Logical clock: 99
2025-03-05 14:27:41 - RECEIVE from VM 1 | Queue length: 10 | Logical clock: 102
2025-03-05 14:27:42 - RECEIVE from VM 1 | Queue length: 10 | Logical clock: 104
2025-03-05 14:27:42 - RECEIVE from VM 1 | Queue length: 11 | Logical clock: 106
2025-03-05 14:27:43 - RECEIVE from VM 1 | Queue length: 12 | Logical clock: 108
2025-03-05 14:27:43 - RECEIVE from VM 1 | Queue length: 11 | Logical clock: 114
2025-03-05 14:27:44 - RECEIVE from VM 1 | Queue length: 11 | Logical clock: 117
2025-03-05 14:27:44 - RECEIVE from VM 1 | Queue length: 11 | Logical clock: 118
2025-03-05 14:27:45 - RECEIVE from VM 1 | Queue length: 12 | Logical clock: 120
2025-03-05 14:27:45 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 121
2025-03-05 14:27:46 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 122
2025-03-05 14:27:46 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 124
2025-03-05 14:27:47 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 133
2025-03-05 14:27:47 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 136
2025-03-05 14:27:48 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 139
2025-03-05 14:27:48 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 140
2025-03-05 14:27:49 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 142
2025-03-05 14:27:49 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 148
2025-03-05 14:27:50 - RECEIVE from VM 1 | Queue length: 12 | Logical clock: 152
2025-03-05 14:27:50 - RECEIVE from VM 1 | Queue length: 13 | Logical clock: 155
2025-03-05 14:27:51 - RECEIVE from VM 1 | Queue length: 14 | Logical clock: 158
2025-03-05 14:27:51 - RECEIVE from VM 1 | Queue length: 14 | Logical clock: 160
2025-03-05 14:27:52 - RECEIVE from VM 1 | Queue length: 15 | Logical clock: 161
2025-03-05 14:27:52 - RECEIVE from VM 1 | Queue length: 16 | Logical clock: 164
2025-03-05 14:27:53 - RECEIVE from VM 1 | Queue length: 18 | Logical clock: 169
2025-03-05 14:27:53 - RECEIVE from VM 1 | Queue length: 17 | Logical clock: 171
2025-03-05 14:27:54 - RECEIVE from VM 1 | Queue length: 18 | Logical clock: 176
2025-03-05 14:27:54 - RECEIVE from VM 1 | Queue length: 19 | Logical clock: 180
2025-03-05 14:27:55 - RECEIVE from VM 1 | Queue length: 20 | Logical clock: 182
2025-03-05 14:27:55 - RECEIVE from VM 1 | Queue length: 20 | Logical clock: 186
2025-03-05 14:27:56 - RECEIVE from VM 1 | Queue length: 20 | Logical clock: 188
2025-03-05 14:27:56 - RECEIVE from VM 1 | Queue length: 21 | Logical clock: 195
2025-03-05 14:27:57 - RECEIVE from VM 1 | Queue length: 22 | Logical clock: 196
2025-03-05 14:27:57 - RECEIVE from VM 1 | Queue length: 23 | Logical clock: 198
2025-03-05 14:27:58 - RECEIVE from VM 1 | Queue length: 22 | Logical clock: 200
2025-03-05 14:27:58 - RECEIVE from VM 1 | Queue length: 22 | Logical clock: 203
2025-03-05 14:27:59 - RECEIVE from VM 1 | Queue length: 21 | Logical clock: 207
2025-03-05 14:28:00 - RECEIVE from VM 1 | Queue length: 20 | Logical clock: 209
2025-03-05 14:28:00 - RECEIVE from VM 1 | Queue length: 20 | Logical clock: 212
2025-03-05 14:28:01 - RECEIVE from VM 1 | Queue length: 20 | Logical clock: 213
2025-03-05 14:28:01 - RECEIVE from VM 1 | Queue length: 21 | Logical clock: 215
2025-03-05 14:28:02 - RECEIVE from VM 1 | Queue length: 21 | Logical clock: 217
2025-03-05 14:28:02 - RECEIVE from VM 1 | Queue length: 21 | Logical clock: 219
2025-03-05 14:28:03 - RECEIVE from VM 1 | Queue length: 21 | Logical clock: 224
2025-03-05 14:28:03 - RECEIVE from VM 1 | Queue length: 21 | Logical clock: 226
2025-03-05 14:28:04 - RECEIVE from VM 1 | Queue length: 22 | Logical clock: 228
2025-03-05 14:28:04 - RECEIVE from VM 1 | Queue length: 22 | Logical clock: 231
2025-03-05 14:28:05 - RECEIVE from VM 1 | Queue length: 23 | Logical clock: 233
2025-03-05 14:28:05 - RECEIVE from VM 1 | Queue length: 23 | Logical clock: 236
2025-03-05 14:28:06 - RECEIVE from VM 1 | Queue length: 24 | Logical clock: 240
2025-03-05 14:28:06 - RECEIVE from VM 1 | Queue length: 25 | Logical clock: 243
2025-03-05 14:28:07 - RECEIVE from VM 1 | Queue length: 25 | Logical clock: 245
2025-03-05 14:28:07 - RECEIVE from VM 1 | Queue length: 26 | Logical clock: 246
2025-03-05 14:28:08 - RECEIVE from VM 1 | Queue length: 25 | Logical clock: 249
2025-03-05 14:28:08 - RECEIVE from VM 1 | Queue length: 25 | Logical clock: 252
2025-03-05 14:28:09 - RECEIVE from VM 1 | Queue length: 26 | Logical clock: 254
2025-03-05 14:28:09 - RECEIVE from VM 1 | Queue length: 27 | Logical clock: 257
2025-03-05 14:28:10 - RECEIVE from VM 1 | Queue length: 27 | Logical clock: 262
2025-03-05 14:28:10 - RECEIVE from VM 1 | Queue length: 28 | Logical clock: 273
2025-03-05 14:28:11 - RECEIVE from VM 1 | Queue length: 29 | Logical clock: 277
2025-03-05 14:28:11 - RECEIVE from VM 1 | Queue length: 30 | Logical clock: 279
2025-03-05 14:28:12 - RECEIVE from VM 1 | Queue length: 30 | Logical clock: 280
2025-03-05 14:28:12 - RECEIVE from VM 1 | Queue length: 31 | Logical clock: 283
2025-03-05 14:28:13 - RECEIVE from VM 1 | Queue length: 30 | Logical clock: 287
2025-03-05 14:28:13 - RECEIVE from VM 1 | Queue length: 31 | Logical clock: 290
2025-03-05 14:28:14 - RECEIVE from VM 1 | Queue length: 31 | Logical clock: 294
2025-03-05 14:28:14 - RECEIVE from VM 1 | Queue length: 30 | Logical clock: 297
2025-03-05 14:28:15 - RECEIVE from VM 1 | Queue length: 30 | Logical clock: 299
2025-03-05 14:28:15 - RECEIVE from VM 1 | Queue length: 29 | Logical clock: 302
2025-03-05 14:28:16 - RECEIVE from VM 1 | Queue length: 28 | Logical clock: 306
2025-03-05 14:28:16 - RECEIVE from VM 1 | Queue length: 30 | Logical clock: 308
2025-03-05 14:28:17 - RECEIVE from VM 1 | Queue length: 32 | Logical clock: 311
2025-03-05 14:28:17 - RECEIVE from VM 1 | Queue length: 31 | Logical clock: 314
2025-03-05 14:28:18 - RECEIVE from VM 1 | Queue length: 31 | Logical clock: 316
2025-03-05 14:28:18 - RECEIVE from VM 1 | Queue length: 31 | Logical clock: 317
2025-03-05 14:28:19 - RECEIVE from VM 1 | Queue length: 32 | Logical clock: 320
2025-03-05 14:28:19 - RECEIVE from VM 1 | Queue length: 32 | Logical clock: 323
2025-03-05 14:28:20 - RECEIVE from VM 1 | Queue length: 31 | Logical clock: 325
2025-03-05 14:28:20 - RECEIVE from VM 1 | Queue length: 31 | Logical clock: 328
2025-03-05 14:28:21 - RECEIVE from VM 1 | Queue length: 31 | Logical clock: 335
2025-03-05 14:28:21 - RECEIVE from VM 1 | Queue length: 33 | Logical clock: 337
2025-03-05 14:28:22 - RECEIVE from VM 1 | Queue length: 33 | Logical clock: 338
